course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q01,4.1.5,GB Adult 4.1.5 — Q01 — Speed choice,A posted speed limit is best understood as:,The maximum lawful speed under favorable conditions,A required speed in all conditions,A minimum speed during rain,Permission to ignore visibility,A,1,single_choice,,Drivers must reduce speed when conditions make the posted maximum unsafe.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q02,4.1.5,GB Adult 4.1.5 — Q02 — Following distance,Why should following distance increase in rain?,The vehicle behind needs more room,Traction and stopping ability are reduced,Signals become optional,Lane markings change color,B,1,single_choice,,More space compensates for longer stopping distance and reduced visibility.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q03,4.1.5,GB Adult 4.1.5 — Q03 — Blind spots,"Before changing lanes, a driver should:",Rely only on the inside mirror,Accelerate without signaling,"Check mirrors, signal, and check the blind area",Follow the navigation display,C,1,single_choice,,Mirrors do not show every area; a deliberate blind-area check is required.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q04,4.1.5,GB Adult 4.1.5 — Q04 — Lane change timing,When should a driver begin a lane change?,Before confirming an open gap,While another vehicle is passing,Inside an intersection,Only after signaling and confirming adequate space,D,1,single_choice,,"A lane change begins only after observation, communication, and gap selection.",Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q05,4.1.5,GB Adult 4.1.5 — Q05 — Turn signal,Why signal well before a turn?,To give others time to understand the intended movement,To claim right-of-way,To permit speeding during the turn,To replace checking mirrors,A,1,single_choice,,Signals communicate intent but do not create priority or replace observation.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q06,4.1.5,GB Adult 4.1.5 — Q06 — Passing sight distance,A driver should not begin passing when:,The vehicle ahead is below the speed limit,The full passing path is not visible and clear,A broken line is present,The driver has signaled,B,1,single_choice,,"Passing requires enough legal, visible space to complete the maneuver safely.",Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q07,4.1.5,GB Adult 4.1.5 — Q07 — Being passed,"When another vehicle is passing, the safer response is to:",Increase speed,Move toward the centerline,Maintain a steady lawful speed and lane position,Sound the horn continuously,C,1,single_choice,,Predictable speed and position help the passing driver clear safely.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q08,4.1.5,GB Adult 4.1.5 — Q08 — Backing,What is the best way to reduce backing risk?,Back quickly,Use mirrors only,Open the driver door while moving,Avoid unnecessary backing and directly check the path,D,1,single_choice,,Backing should be minimized and the driver must verify the path and surroundings.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q09,4.1.5,GB Adult 4.1.5 — Q09 — Freeway entry,A driver entering a freeway should generally:,Adjust speed to traffic and merge into a safe gap,Stop at the end of every acceleration lane,Force freeway traffic to yield,Enter at a very low speed,A,1,single_choice,,The acceleration lane is used to build an appropriate speed and select a safe gap.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.5,GB-AE-4.1.5-Q10,4.1.5,GB Adult 4.1.5 — Q10 — Work-zone queue,"When approaching stopped traffic in a work zone, the driver should:",Brake late to discourage merging,Slow early and increase following distance,Drive on the shoulder,Follow the navigation app around barriers,B,1,single_choice,,Early speed reduction helps prevent rear-end crashes and protects workers.,Gulf Breeze Adult English — Topic 4.1.5 Participation Bank,Internal participation bank for Controlling Traffic Flow. The controlled mastery gate administers two questions after Topic 4.1.5.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
