question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,bank_title,course_type,module,objective_code,poi_topic,points,question_type,hint,explanation,source_url,bank_description,image_file
R01-01 — Licensing responsibility,A Texas resident operating a Class C vehicle on public roads generally must have what?,A passport,A valid driver license,A vehicle title in the driver’s name,A commercial driver license,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 1,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R01-02 — Learner license,What must a learner-license holder have while practicing on a public road?,A second learner in the rear seat,A commercial instructor at all times,Hazard lights turned on,An authorized licensed adult supervising as required,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 1,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R01-03 — License restrictions,What is the safest legal response to a restriction printed on a driver license?,Follow it only during a road test,Follow the restriction whenever driving,Treat it as optional outside business hours,Ignore it after six months,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 1,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R02-01 — Required equipment,Why should required lamps and signaling equipment be checked before driving?,They reduce registration fees,They replace the need for mirrors,They increase the posted speed limit,They help the driver communicate and remain visible,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 2,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R02-02 — Vehicle condition,"If a vehicle has a safety-related equipment defect, what is the responsible action?",Remove the vehicle registration sticker,Repair it before the defect creates a roadway hazard,Drive only in the left lane,Use the horn continuously,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 2,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R02-03 — Safety belts,"When a vehicle is equipped with safety belts, what should occupants do?",Use them only on highways,Place the shoulder belt behind the back,Share one belt between two passengers,Use them correctly,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 2,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R03-01 — Financial responsibility,What is the purpose of Texas financial-responsibility requirements?,To ensure a driver can respond financially for covered crash losses,To guarantee free vehicle repairs,To replace a driver license,To establish vehicle resale value,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 3,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R03-02 — Proof of insurance,"When requested during a lawful traffic stop, a driver should be prepared to show what?",A voter-registration card,A school transcript,Acceptable evidence of financial responsibility,A vehicle repair estimate,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 3,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R03-03 — Uninsured driving,Driving without required financial responsibility can result in what?,Legal penalties and additional consequences,Automatic ownership of the vehicle,A higher legal speed limit,Waiver of crash responsibility,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 3,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-01 — Uncontrolled intersections,"At an uncontrolled intersection reached at about the same time, who generally yields?",The driver on the right always backs up,The faster vehicle has priority,The larger vehicle has priority,The driver on the left yields to the driver on the right,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-02 — Left turns,A driver turning left across traffic must yield to whom?,No one when a turn signal is used,Oncoming traffic close enough to be a hazard,Only vehicles displaying headlights,Only commercial vehicles,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-03 — Emergency vehicles,"When an emergency vehicle approaches using audible or visual signals, what should a driver generally do?",Accelerate and follow it closely,Stop in the center of the intersection,Continue at the same speed,Yield and move as required to allow it to pass,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-04 — School buses,"When legally required to stop for a school bus, when may a driver proceed?",After sounding the horn,When another vehicle begins moving,After the bus signal is withdrawn and it is safe,As soon as children reach the shoulder,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R06-01 — Signaling,A turn signal should be used primarily to do what?,Require other drivers to stop,Replace a mirror and blind-spot check,Communicate an intended movement to other road users,Claim permanent right-of-way,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 6,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R06-02 — Passing,"Before passing another vehicle, a driver should first determine what?",That the pass is legal and enough clear distance is available,That the other driver is traveling below the speed limit,That the shoulder is wide enough to use,That no passengers are present,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 6,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R06-03 — Turning,"Before turning, a driver should signal, control speed, and do what else?",Turn from whichever lane is open,Stop using mirrors,"Check for vehicles, pedestrians, and bicyclists",Move across every lane at once,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 6,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R07-01 — Parking restrictions,Why is parking near an intersection or crosswalk restricted?,It prevents radio reception,It can block visibility and pedestrian movement,It makes the pavement wear faster,It changes the speed limit,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 7,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R07-02 — Securing a parked vehicle,"After parking, what helps prevent unintended vehicle movement?",Leave the engine running,Turn the wheels straight in every location,Release all braking devices,Set the parking brake and secure the transmission,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 7,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R08-01 — Safe speed,A posted speed limit means a driver may always travel at that speed regardless of conditions. Is this correct?,Yes; the sign guarantees safe travel,Yes; but only at night,No; posted limits apply only to trucks,No; speed must also be reasonable for conditions,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 8,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R08-02 — Reduced visibility,"When visibility or traction is reduced, what should a driver do?",Drive on the shoulder,Reduce speed and increase following space,Maintain speed and follow more closely,Use high beams in all situations,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 8,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R09-01 — Hydroplaning risk,What adjustment helps reduce risk on a wet roadway?,Slow down and make smooth control inputs,Brake sharply in every curve,Use cruise control to maintain speed,Follow closely to copy another driver,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 9,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R09-02 — Large trucks,Why should a driver avoid remaining beside a large truck?,Passenger vehicles are prohibited beside trucks,The truck always has an open lane,The truck has large blind areas and may need space to maneuver,The truck is required to stop without warning,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 9,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R09-03 — Flooded roads,What is the appropriate response when water covers a roadway and its depth is uncertain?,Turn around and choose another route,Accelerate to create a wave,Follow the vehicle ahead closely,Stop in the water to inspect it,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 9,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R10-01 — Impairment,Why is combining alcohol with other drugs especially dangerous for driving?,The effects always cancel one another,Only prescription drugs affect coordination,The combined effects can increase impairment unpredictably,The combination improves night vision,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 10,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R10-02 — Zero tolerance,Texas zero-tolerance laws for minors are intended to discourage what?,Any alcohol-related driving behavior by underage drivers,Driving after midnight,Transporting sealed groceries,Riding with an adult passenger,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 10,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R11-01 — Crash duties,"After a crash involving possible injury, what is a driver’s first responsibility?",Move injured people regardless of danger,"Stop, protect the scene as reasonably possible, and obtain aid",Leave to avoid blocking traffic,Exchange information later by mail,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 11,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R11-02 — Unattended vehicle,"If a driver damages an unattended vehicle, what should the driver do?",Leave if the damage appears minor,Wait only five minutes and depart,Report it only when the owner calls,Stop and provide the information required by law,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 11,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R12-01 — Pedestrians,"When turning across a crosswalk, a driver must be prepared to do what?",Sound the horn and continue,Stop only for groups of pedestrians,Drive around pedestrians in the crosswalk,Yield to pedestrians lawfully using it,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 12,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R13-01 — Bicycles,A person riding a bicycle on the roadway should generally be treated as what?,A legitimate roadway user with applicable rights and duties,A pedestrian who must always use sidewalks,An obstruction with no right to a lane,A vehicle that never needs space,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 13,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R14-01 — Defensive driving,What is a central defensive-driving habit?,Assume every driver will follow the law,Use the horn instead of adjusting speed,Focus only on the vehicle directly ahead,"Search ahead, identify risk, and preserve time and space to respond",D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 14,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R01-04 — Class C licensing,A standard Class C driver license generally authorizes operation of what?,Ordinary passenger vehicles that do not require another license class,Any commercial combination regardless of weight,A motorcycle without the required endorsement,A school bus carrying passengers,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 1,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R01-05 — License restrictions,What must a driver do when a driver license displays a restriction?,Apply it only outside Texas,Follow it only when a police officer is present,Comply with the restriction whenever operating a vehicle,Ignore it after passing a road test,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 1,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R02-04 — Vehicle condition,"Before driving, why should lights, tires, mirrors, and safety equipment be checked?",Only commercial vehicles need working safety equipment,A check guarantees the vehicle cannot break down,Defects can affect whether the vehicle can be operated safely,The check replaces all scheduled maintenance,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 2,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R02-05 — Registration evidence,What should a driver verify about a vehicle before operating it on public roads?,Required registration and other legal operating requirements are current,The vehicle has never been repaired,The fuel tank is completely full,Every optional accessory is installed,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 2,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R03-04 — Financial responsibility,Texas financial-responsibility requirements are intended to ensure what?,A crash cannot affect driving privileges,Drivers can respond financially for damage or injury they cause,Every repair is paid by the state,Only commercial drivers carry insurance,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 3,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R03-05 — Proof of responsibility,"When operating a vehicle, a driver should be able to provide what when legally requested?",A vehicle purchase receipt,A written permission slip from every passenger,A copy of the driver handbook,Acceptable evidence of financial responsibility,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 3,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-05 — Uncontrolled intersections,"At an intersection without signs or signals, what should a driver do?","Slow, observe carefully, and yield as required before proceeding",Assume the wider road always has priority,Enter quickly before another vehicle arrives,Yield only to vehicles approaching from behind,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-06 — Emergency vehicles,"When an authorized emergency vehicle approaches using required warning equipment, a driver should do what?",Follow closely behind it through traffic,Stop immediately in the travel lane regardless of safety,"Yield, move as required, and stop in a safe position",Maintain speed in the center lane,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R04-07 — Pedestrian right-of-way,"Even when a driver has a green light, why must the driver check a crosswalk before turning?",Pedestrians may lawfully be crossing in the intended path,A green light applies only to pedestrians,Turning vehicles always have priority,Crosswalks are used only near schools,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 4,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
