question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,bank_title,course_type,module,objective_code,poi_topic,points,question_type,hint,explanation,source_url,bank_description,image_file
S05-01 — Stop sign,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-1-stop.svg"" alt=""Stop sign highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign require?</p>",Slow to about 5 mph and continue if the intersection appears clear,Stop only when another vehicle is approaching on the cross street,Stop after the front of the vehicle has entered the crosswalk,"Come to a complete stop at the stop line, crosswalk, or before entering the intersection",D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-1-stop.svg
S05-02 — Stop sign,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-1-stop.svg"" alt=""Stop sign highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>After making the required stop, when may the driver proceed?</p>",Immediately if the driver arrived before a pedestrian entered the crosswalk,After yielding to pedestrians and conflicting traffic when the movement can be made safely,As soon as the vehicle has remained stopped for three seconds,Before a vehicle on the right if both vehicles stopped at about the same time,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-1-stop.svg
S05-03 — Yield sign,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-2-yield.svg"" alt=""Yield sign highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign require a driver to do?</p>",Make a complete stop every time before continuing,Maintain speed because entering traffic has the right-of-way,Enter first whenever the driver is traveling on the larger roadway,"Slow down, yield the right-of-way, and stop if necessary",D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-2-yield.svg
S05-04 — Yield sign,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-2-yield.svg"" alt=""Yield sign highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>A driver approaching this sign sees traffic close enough to create a conflict. What should the driver do?</p>",Stop beside the sign and then enter regardless of the available gap,Use the shoulder to build speed before joining traffic,Wait until an adequate gap is available before entering,Enter slowly so the other traffic will have time to brake,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-2-yield.svg
S05-05 — Railroad advance warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w10-1-railroad-ahead.svg"" alt=""Railroad advance warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this round warning sign mean?</p>",A highway-rail grade crossing is ahead,The roadway ends at a traffic circle,A school crossing is ahead,A railroad crossing is located immediately at the sign,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w10-1-railroad-ahead.svg
S05-06 — Railroad advance warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w10-1-railroad-ahead.svg"" alt=""Railroad advance warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What is the appropriate response to this advance warning?</p>",Increase speed so the vehicle spends less time near the tracks,Move left and pass slower vehicles before reaching the crossing,"Reduce speed, look and listen for a train, and be prepared to stop",Stop at the warning sign even when the tracks are still far ahead,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w10-1-railroad-ahead.svg
S05-07 — No-passing zone,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w14-3-no-passing-zone.svg"" alt=""No-passing zone highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this pennant-shaped sign identify?</p>",The beginning of a no-passing zone,The beginning of a two-way left-turn lane,A location where passing is permitted with extra caution,A lane reserved for slow-moving vehicles,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w14-3-no-passing-zone.svg
S05-08 — No-passing zone,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w14-3-no-passing-zone.svg"" alt=""No-passing zone highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How should a driver respond to this sign?</p>",Pass only vehicles traveling below the posted speed limit,Pass if no oncoming vehicle is visible when the maneuver begins,Move onto the shoulder to allow following vehicles to pass,Remain in the proper lane and do not begin a passing maneuver,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w14-3-no-passing-zone.svg
S05-09 — Curve warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-2-curve.svg"" alt=""Curve warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What roadway condition does this sign show?</p>",A side road entering from the right,A gradual curve to the right ahead,A sharp right turn ahead,A winding roadway with several curves ahead,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-2-curve.svg
S05-10 — Curve warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-2-curve.svg"" alt=""Curve warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What is the safest way to prepare for the curve shown?</p>",Move near the center line to improve the driver’s view around the curve,Accelerate into the curve to increase tire traction,Choose a safe speed before entering the curve and maintain proper lane position,Maintain highway speed until halfway through the curve and then brake,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-2-curve.svg
